City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Trairi,BR,84.29,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
249,Liaqatabad,PK,87.8,smoke,31.56,74.3,Hotel One Down Town Lahore
250,Aklavik,CA,55.4,broken clouds,68.22,-135.01,Aklavik Inn
251,Kresttsy,RU,63.18,overcast clouds,58.25,32.52,"Gostinitsa ""Lesnaya"""
252,Ichinoseki,JP,69.35,overcast clouds,38.92,141.13,一関温泉 山桜桃の湯
253,Harper,LR,77.7,broken clouds,4.38,-7.72,Screensaver
254,Hambantota,LK,80.6,few clouds,6.12,81.12,Bungalow 63
256,Manjacaze,MZ,66.78,clear sky,-24.71,33.88,Hotel Gani
257,Souillac,MU,71.6,scattered clouds,-20.52,57.52,Bils' Villa
258,Ancud,CL,51.01,overcast clouds,-41.87,-73.82,Hotel Arena Gruesa
259,Nikolsk,RU,56.71,clear sky,53.72,46.07,Гостиница Центральная
260,Trinidad,BO,73.4,clear sky,-14.83,-64.9,Hotel Piesta
261,San Quintin,MX,77.54,clear sky,30.48,-115.95,Old Mill Hotel
262,Vadakku Valliyur,IN,80.2,clear sky,8.38,77.65,Christopher Cottage
263,Tres De Maio,BR,63.59,clear sky,-27.77,-54.24,Hotel SABOR e ACONCHEGO
265,Upata,VE,84.99,moderate rain,8.01,-62.4,Posada Villa Nela
266,Sistranda,NO,54.0,broken clouds,63.73,8.83,Hotell Frøya
267,Mpika,ZM,62.76,broken clouds,-11.83,31.45,Melodies Lodge
268,Montes Claros,BR,78.8,broken clouds,-16.73,-43.86,ibis Montes Claros Shopping
269,Vestmannaeyjar,IS,55.4,overcast clouds,63.44,-20.27,Glamping & Camping
270,Verkhnetulomskiy,RU,60.8,broken clouds,68.61,31.8,Отель Уют
271,Pisco,PE,63.0,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
272,Ponta Delgada,PT,77.0,few clouds,37.73,-25.67,Vila Nova Hotel
273,Marsabit,KE,71.58,scattered clouds,2.33,37.99,Chicho Hotel
274,Mayakonda,IN,72.66,broken clouds,14.28,76.08,St hostel
276,Swan River,CA,69.06,clear sky,52.11,-101.27,Super 8 by Wyndham Swan River MB
277,Lompoc,US,75.2,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
278,Katsuura,JP,78.8,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
279,La Ronge,CA,62.6,broken clouds,55.1,-105.28,Northland Motor Hotel
280,Sokoni,TZ,77.0,few clouds,-6.43,39.55,Ujamaa Beach Resort
281,Sault Sainte Marie,CA,73.4,overcast clouds,46.52,-84.33,Comfort Inn
282,Lincoln,US,89.01,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
